Fecha,Nombre,Edad,Genero,Talla,Seccion,Localizacion,Agregar Producto,Iniciar Pago,Compra Confirmada
2024-02-02 00:00:56.222565532,Calvin Bailey,34,mujer,,,China,False,False,False
2024-02-02 00:07:40.563751640,Gary Willis,30,mujer,,,Japon,False,False,False
2024-02-02 00:12:27.340380852,Lori Taylor,34,mujer,,,China,False,False,False
2024-02-02 00:13:37.087086277,Luke Willis,56,mujer,,,China,False,False,False
2024-02-02 00:19:25.913090612,Angel Logan,48,mujer,,,China,False,False,False
2024-02-02 00:21:32.593377037,Dana Blankenship,50,mujer,,,Japon,False,False,False
2024-02-02 00:22:59.291798423,Lauren Williams,43,mujer,,,Japon,False,False,False
2024-02-02 00:26:29.162098011,Hannah Schneider,36,mujer,,,Reino Unido,False,False,False
2024-02-02 00:29:54.540378151,Stephanie Ayers DDS,35,hombre,,,China,False,False,False
2024-02-02 00:30:19.197880323,Amanda Wood,18,mujer,,,Japon,False,False,False
2024-02-02 00:33:23.216775756,Maria Harris,55,mujer,,,Japon,False,False,False
2024-02-02 00:56:59.132830245,Mark Jones,46,mujer,,,China,False,False,False
2024-02-02 01:08:24.920687890,Jaime Gross,42,hombre,,,Japon,False,False,False
2024-02-02 01:08:52.745180373,Kimberly Moore,33,mujer,,,Japon,False,False,False
2024-02-02 01:10:52.575292740,Paige Sullivan,36,hombre,,,Reino Unido,False,False,False
2024-02-02 01:14:49.721657917,Ronald Johnson,33,mujer,,,China,False,False,False
2024-02-02 01:22:46.404291579,Robert Harvey,33,mujer,,,China,False,False,False
2024-02-02 01:23:17.605580357,Megan Grant,49,mujer,,,EEUU,False,False,False
2024-02-02 01:24:28.000555957,Christopher Johnson,29,hombre,,,Reino Unido,False,False,False
2024-02-02 01:26:33.607450287,John Jones,54,mujer,,,Japon,False,False,False
2024-02-02 01:31:28.698729920,Connor White,35,mujer,,,Japon,False,False,False
2024-02-02 01:37:21.069255608,Darren Villanueva,53,mujer,,,China,False,False,False
2024-02-02 01:44:20.492814637,Renee Velez,44,mujer,,,Japon,False,False,False
2024-02-02 01:46:59.328933345,Teresa Ward,25,hombre,,,China,False,False,False
2024-02-02 01:48:46.115852196,Autumn Garcia,47,mujer,,,China,False,False,False
2024-02-02 02:00:59.982456852,Joel Wagner,51,mujer,,,China,False,False,False
2024-02-02 02:01:52.288795080,Vanessa Martin,32,mujer,,,Japon,False,False,False
2024-02-02 02:02:50.704428972,Sean Cain,26,mujer,,,China,False,False,False
2024-02-02 02:07:07.827708992,Edward Williams,29,hombre,,,EEUU,False,False,False
2024-02-02 02:09:57.674992020,Matthew Patton,43,hombre,,,China,False,False,False
2024-02-02 02:11:46.935796362,Michele Ruiz,42,mujer,,,China,False,False,False
2024-02-02 02:14:01.894344164,Scott Diaz,46,hombre,,,Japon,False,False,False
2024-02-02 02:17:06.009137281,James Bender,33,mujer,,,Japon,False,False,False
2024-02-02 02:17:30.500424312,Tony Gomez,37,mujer,,,EEUU,False,False,False
2024-02-02 02:18:42.533286484,Lisa Moss,25,mujer,44,hombre,China,True,False,False
2024-02-02 02:23:15.661215478,Luke Davis,38,mujer,,,EEUU,False,False,False
2024-02-02 02:24:04.617216750,Scott Evans,35,mujer,,,China,False,False,False
2024-02-02 02:25:55.213451318,Elaine Harper,42,mujer,,,Japon,False,False,False
2024-02-02 02:28:33.800870488,Carrie Smith,37,mujer,44,hombre,Japon,True,False,False
2024-02-02 02:30:41.519354109,Dr. Alejandra Moss,31,hombre,,,Japon,False,False,False
2024-02-02 02:34:54.296696966,Zachary Miranda,37,mujer,,,Reino Unido,False,False,False
2024-02-02 02:35:05.181795518,George Saunders,48,mujer,43,hombre,China,True,False,False
2024-02-02 02:35:38.558517796,Joseph Rowe,37,mujer,,,Japon,False,False,False
2024-02-02 02:42:33.419177722,Benjamin Wright III,32,mujer,,,China,False,False,False
2024-02-02 02:42:46.067247557,Candice Kline,42,mujer,,,Japon,False,False,False
2024-02-02 02:49:31.820640409,Matthew Rojas,36,hombre,,,Japon,False,False,False
2024-02-02 02:54:32.859409955,Corey Melendez,46,hombre,,,Reino Unido,False,False,False
2024-02-02 02:54:34.033723671,Erica Riley,44,mujer,,,China,False,False,False
2024-02-02 02:55:07.953315953,Larry Colon,40,mujer,,,Japon,False,False,False
2024-02-02 02:58:51.112633630,David Levine,46,mujer,,,EEUU,False,False,False
2024-02-02 03:01:01.276783391,Robin Armstrong,46,mujer,,,EEUU,False,False,False
2024-02-02 03:06:04.419566059,Steven Malone,48,mujer,,,Japon,False,False,False
2024-02-02 03:06:35.914214245,Jake Taylor,38,mujer,,,EEUU,False,False,False
2024-02-02 03:07:14.471205062,Samantha Ortiz,23,hombre,,,China,False,False,False
2024-02-02 03:20:39.565430343,Alyssa Perez,45,mujer,,,Japon,False,False,False
2024-02-02 03:22:29.033289314,Kenneth Thompson,56,mujer,,,China,False,False,False
2024-02-02 03:25:24.184843858,James Flores,34,mujer,,,Reino Unido,False,False,False
2024-02-02 03:25:31.930955418,James Salinas,46,mujer,,,China,False,False,False
2024-02-02 03:26:41.271453201,Noah Stephens,38,mujer,,,Reino Unido,False,False,False
2024-02-02 03:27:29.185907404,Christopher Brandt,23,mujer,,,Japon,False,False,False
2024-02-02 03:31:26.268413716,Jason Lee,36,mujer,,,China,False,False,False
2024-02-02 03:32:08.348917520,Jessica Sandoval,52,mujer,,,Japon,False,False,False
2024-02-02 03:36:20.685711894,Christopher Garcia,35,mujer,,,Reino Unido,False,False,False
2024-02-02 03:39:40.033924686,Leah Thomas,24,mujer,,,Japon,False,False,False
2024-02-02 03:50:14.266263718,Wendy Garcia,38,mujer,,,EEUU,False,False,False
2024-02-02 03:50:17.190308113,Christopher Hunter,49,mujer,,,Japon,False,False,False
2024-02-02 03:52:02.648882298,Terry Martinez,42,mujer,,,EEUU,False,False,False
2024-02-02 03:52:25.724008630,Bradley Thomas,53,hombre,,,Japon,False,False,False
2024-02-02 04:04:40.020943886,Scott Reynolds,31,hombre,43,hombre,Japon,True,False,False
2024-02-02 04:08:50.125811363,Scott Palmer Jr.,48,hombre,,,Japon,False,False,False
2024-02-02 04:09:34.903732265,Emily Sanchez,32,hombre,,,Japon,False,False,False
2024-02-02 04:14:04.078421177,Stacy Taylor,31,mujer,38,hombre,China,True,False,False
2024-02-02 04:16:31.494651378,John Pierce,44,mujer,,,China,False,False,False
2024-02-02 04:20:14.633138515,Paul Snyder,39,mujer,,,Japon,False,False,False
2024-02-02 04:21:02.314607881,Kimberly Hull,39,mujer,,,Reino Unido,False,False,False
2024-02-02 04:22:49.087841747,Dennis Petersen,29,mujer,,,Japon,False,False,False
2024-02-02 04:28:47.272779572,Richard Rodriguez,49,hombre,,,EEUU,False,False,False
2024-02-02 04:29:58.046565490,Kenneth Smith,34,mujer,,,Japon,False,False,False
2024-02-02 04:30:41.907364009,Paul Solis,41,mujer,,,China,False,False,False
2024-02-02 04:32:11.403711911,Tony Gonzales,30,mujer,,,China,False,False,False
2024-02-02 04:32:13.493685914,Samantha Owen,41,mujer,,,Japon,False,False,False
2024-02-02 04:33:30.111627918,Brenda Garza,37,mujer,,,China,False,False,False
2024-02-02 04:39:00.692736915,Megan Turner,31,mujer,,,Japon,False,False,False
2024-02-02 04:44:07.741950595,Lacey Ingram,44,mujer,,,China,False,False,False
2024-02-02 04:49:13.577644400,Stanley Jordan,42,mujer,,,Japon,False,False,False
2024-02-02 04:49:18.158922581,Amy Blankenship,26,mujer,,,China,False,False,False
2024-02-02 04:52:42.902034894,Gabriella Scott,41,mujer,41,hombre,EEUU,True,False,False
2024-02-02 04:53:15.910446013,Dr. Ryan Watts,29,hombre,,,China,False,False,False
2024-02-02 04:53:19.562015445,Lisa Herrera,27,hombre,44,hombre,China,True,False,False
2024-02-02 04:59:00.868479870,Thomas Hernandez,51,hombre,,,Japon,False,False,False
2024-02-02 05:01:43.964218312,Adam Lucas,33,mujer,41,mujer,Japon,True,False,False
2024-02-02 05:04:22.187856091,John Cooke,40,mujer,,,Reino Unido,False,False,False
2024-02-02 05:10:18.790189687,Gina Park,35,mujer,,,China,False,False,False
2024-02-02 05:11:41.774905098,Sonya Thornton,45,hombre,,,Japon,False,False,False
2024-02-02 05:11:56.160311487,Allison Adams,31,hombre,,,Japon,False,False,False
2024-02-02 05:15:02.706530491,Aaron Henson,26,mujer,,,Reino Unido,False,False,False
2024-02-02 05:16:37.607539965,Edward Wilson MD,22,mujer,,,China,False,False,False
2024-02-02 05:24:19.149859515,Hayden Young,41,mujer,,,China,False,False,False
2024-02-02 05:27:00.109490146,Melissa Townsend,29,mujer,,,EEUU,False,False,False
2024-02-02 05:27:52.087154425,Sophia Perez,29,mujer,,,China,False,False,False
2024-02-02 05:35:36.689774463,Angela Gill,33,mujer,39,hombre,China,True,False,False
